aX,aY,aZ,gX,gY,gZ
0.160,-0.193,0.922,11.353,-4.395,2.197
0.182,-0.141,0.960,8.789,-4.761,0.977
0.178,-0.183,0.959,2.930,-2.747,-1.404
0.156,-0.272,0.935,-1.587,-1.099,-3.845
0.142,-0.326,0.928,-2.441,-1.099,-4.028
0.140,-0.332,0.934,0.183,-1.709,-2.625
0.142,-0.333,0.949,2.930,-2.014,-0.732
0.141,-0.340,0.958,3.601,-2.258,0.916
0.148,-0.300,0.965,4.944,-1.892,2.808
0.146,-0.246,0.943,5.859,-0.793,3.174
0.134,-0.221,0.891,4.700,-0.244,2.319
0.136,-0.233,0.896,1.770,-0.854,0.671

-1.375,-0.409,1.207,-11.841,-58.044,-99.976
-1.167,-0.567,1.417,1.709,-53.955,-95.642
-0.982,-0.609,1.473,27.344,-42.725,-85.632
-0.885,-0.631,1.258,53.650,-24.475,-74.524
-0.884,-0.539,0.982,77.515,-11.047,-61.462
-0.881,-0.557,0.662,83.862,-6.836,-48.401
-0.841,-0.497,0.684,70.435,-15.869,-29.724
-0.776,-0.335,0.876,48.584,-27.832,-8.301
-0.641,-0.141,1.170,31.494,-36.011,7.568
-0.510,-0.044,1.369,24.963,-34.485,16.052
-0.454,0.005,1.366,20.447,-21.729,21.423
-0.508,0.121,1.252,13.123,-7.202,27.710
-0.525,0.100,1.176,3.662,2.136,30.457
-0.576,0.058,1.136,-5.249,6.287,34.363
-0.635,0.048,1.071,-6.042,8.362,39.246
-0.676,-0.011,0.998,-3.967,7.263,42.542
-0.702,-0.022,0.927,7.080,2.258,46.326
-0.680,0.020,0.889,24.231,-5.554,50.415
-0.665,-0.032,0.884,40.283,-14.404,51.392
-0.666,-0.031,0.906,47.791,-20.752,53.833
-0.662,0.071,1.044,42.786,-25.574,59.082
-0.666,0.170,1.218,29.419,-25.696,62.256
-0.670,0.159,1.389,11.841,-18.860,61.035
-0.675,-0.015,1.488,-7.080,-5.615,57.373
-0.738,-0.149,1.501,-17.822,10.437,57.373
-0.820,-0.202,1.231,-10.742,28.625,60.364
-0.892,-0.353,0.964,11.047,38.879,59.265
-0.899,-0.521,0.714,34.058,36.743,59.570
-0.898,-0.522,0.611,50.659,25.818,67.993
-0.871,-0.305,0.594,56.213,13.855,80.688
-0.804,-0.124,0.620,53.955,5.127,88.257
