aX,aY,aZ,gX,gY,gZ
0.021,-1.153,-0.237,-46.387,65.552,-222.778
0.067,-1.097,-0.295,-52.185,63.538,-209.473
0.110,-1.211,-0.297,-56.824,59.631,-200.928
0.129,-1.296,-0.400,-64.270,58.105,-193.909
0.155,-1.407,-0.444,-70.679,53.406,-184.814
0.175,-1.562,-0.517,-73.914,47.913,-176.270
0.193,-1.691,-0.542,-74.097,40.527,-164.490
0.222,-1.825,-0.602,-72.388,32.410,-149.963
0.259,-1.973,-0.606,-66.833,21.973,-133.728
0.307,-2.019,-0.612,-59.814,11.292,-113.892
0.352,-2.054,-0.605,-54.932,2.502,-93.628
0.394,-2.040,-0.589,-53.101,-5.066,-73.425
0.443,-2.044,-0.568,-53.589,-12.390,-54.138
0.496,-1.949,-0.467,-54.626,-20.203,-35.156
0.541,-1.882,-0.373,-54.993,-25.391,-18.982
0.587,-1.819,-0.263,-54.749,-28.809,-5.981
0.616,-1.793,-0.209,-51.270,-30.151,5.249
0.643,-1.777,-0.139,-45.044,-31.677,16.724
0.668,-1.681,-0.091,-38.696,-32.410,30.701
0.690,-1.569,-0.051,-32.776,-31.982,43.701
0.713,-1.441,-0.003,-27.832,-31.616,55.237
0.730,-1.319,0.037,-23.193,-30.090,64.331
0.750,-1.172,0.112,-19.409,-28.503,71.411
0.774,-1.005,0.219,-18.311,-25.085,76.172
0.786,-0.908,0.219,-18.799,-18.250,76.782
0.784,-0.854,0.188,-18.005,-11.292,74.829
0.779,-0.801,0.155,-14.282,-6.775,73.364
0.777,-0.746,0.128,-8.911,-4.089,71.655
0.774,-0.682,0.135,-2.991,-3.296,70.374
0.766,-0.631,0.113,2.258,-1.892,68.237
0.760,-0.586,0.110,4.761,-0.977,65.796
0.755,-0.561,0.091,4.639,0.427,63.232
0.758,-0.521,0.095,2.991,2.014,61.218
0.764,-0.472,0.106,1.587,3.601,59.082
0.778,-0.402,0.157,-1.343,4.700,56.824
0.779,-0.378,0.084,-4.272,8.301,52.185
0.781,-0.385,0.077,-4.211,9.399,46.143
0.783,-0.375,0.038,-1.038,9.094,41.077
0.782,-0.368,0.034,2.991,7.690,36.255
0.780,-0.387,0.025,6.104,5.920,30.823
0.778,-0.422,0.013,9.033,4.578,26.367
0.778,-0.432,0.019,11.536,2.747,23.682
0.781,-0.446,0.035,12.085,1.770,21.606
0.794,-0.417,0.089,9.583,1.099,20.813
0.793,-0.434,0.077,4.822,3.479,18.799
0.790,-0.435,0.056,0.610,5.371,16.602
0.793,-0.446,0.043,-1.099,5.798,14.465
0.798,-0.432,0.043,-1.343,5.249,11.841
0.815,-0.386,0.073,0.000,4.333,9.155
0.816,-0.411,0.058,2.686,3.845,3.906
0.817,-0.450,0.057,5.737,2.991,-0.610
0.808,-0.536,0.057,7.019,2.502,-3.479
0.801,-0.581,0.054,5.676,3.052,-3.601
0.797,-0.576,0.056,3.418,3.784,-1.831
0.794,-0.557,0.035,1.648,4.761,-0.610
0.794,-0.530,0.029,-0.122,5.249,-0.549
0.790,-0.541,0.039,-2.136,5.493,-1.770
0.787,-0.581,0.041,-2.747,5.554,-3.540
0.788,-0.596,0.050,-1.709,5.554,-4.272
0.777,-0.620,0.034,-1.282,5.798,-5.005

-0.338,1.451,0.769,91.064,-65.491,267.822
-0.282,1.517,0.864,79.956,-63.843,254.517
-0.223,1.610,0.919,76.660,-60.120,241.272
-0.175,1.729,0.940,80.383,-54.260,225.586
-0.120,1.791,0.936,85.754,-49.072,206.726
-0.070,1.850,0.930,89.539,-44.067,187.622
-0.009,1.945,0.939,87.708,-38.635,170.288
0.053,2.039,0.968,78.918,-32.776,153.381
0.097,2.119,0.919,65.613,-25.085,136.719
0.142,2.216,0.888,51.025,-18.066,120.544
0.175,2.372,0.899,37.109,-13.306,104.126
0.212,2.469,0.921,23.499,-7.019,83.191
0.239,2.568,0.971,14.954,-1.953,59.631
0.263,2.662,0.979,14.465,4.089,33.325
0.264,2.674,0.928,17.822,11.658,3.723
0.244,2.599,0.859,20.874,18.372,-25.879
0.209,2.501,0.785,19.226,24.048,-52.795
0.172,2.368,0.704,11.047,29.541,-75.745
0.139,2.245,0.655,-1.404,32.532,-94.482
0.120,2.138,0.680,-13.123,33.691,-109.924
0.101,2.026,0.692,-21.057,34.424,-124.146
0.094,1.908,0.726,-25.024,36.011,-137.756
0.090,1.806,0.758,-26.672,37.903,-150.146
0.078,1.720,0.772,-27.100,41.199,-161.987
0.063,1.584,0.740,-26.794,45.593,-174.438
0.056,1.500,0.769,-27.893,48.462,-184.143
0.040,1.369,0.750,-30.029,51.880,-193.481
0.033,1.254,0.755,-32.593,54.993,-199.951
0.026,1.117,0.766,-36.194,57.007,-204.346
0.026,0.999,0.757,-39.551,60.791,-206.421
0.042,0.965,0.763,-44.067,64.331,-205.017
0.053,0.927,0.720,-49.683,69.397,-204.041
0.058,0.945,0.685,-55.664,73.486,-203.674
0.074,0.998,0.703,-61.829,75.623,-204.895
0.070,1.029,0.691,-67.871,78.613,-209.900
0.056,0.983,0.675,-71.777,81.421,-218.445
0.047,0.931,0.692,-72.205,83.374,-227.051
0.020,0.906,0.685,-71.533,86.304,-234.314
-0.016,0.782,0.605,-71.167,90.088,-242.615
-0.038,0.694,0.556,-70.313,91.125,-248.474
-0.039,0.627,0.573,-67.383,89.722,-252.136
-0.037,0.590,0.593,-62.134,89.966,-255.432
-0.042,0.544,0.557,-57.861,93.140,-258.911
-0.050,0.515,0.504,-57.800,96.619,-262.268
-0.057,0.457,0.452,-59.143,99.243,-266.052
-0.055,0.436,0.450,-61.157,100.220,-269.897
-0.076,0.401,0.385,-62.927,101.685,-273.987
-0.093,0.308,0.356,-62.012,101.868,-279.114
-0.112,0.210,0.345,-58.533,100.281,-282.959
-0.129,0.098,0.292,-54.260,99.487,-284.912
-0.128,-0.056,0.234,-49.255,98.206,-285.217
-0.091,-0.107,0.231,-43.030,94.910,-281.189
-0.060,-0.116,0.214,-39.490,94.482,-275.635
-0.039,-0.134,0.173,-40.344,95.398,-271.973
-0.030,-0.181,0.133,-45.898,95.947,-269.714
-0.029,-0.276,0.058,-54.749,96.436,-267.822
-0.021,-0.351,0.052,-64.636,94.482,-264.526
-0.021,-0.389,-0.004,-71.716,92.834,-259.766
-0.028,-0.487,-0.074,-72.998,89.661,-256.470
-0.023,-0.557,-0.117,-68.481,82.764,-252.686
0.011,-0.558,-0.039,-61.462,73.730,-247.620
0.029,-0.607,-0.045,-55.054,69.824,-243.958
0.042,-0.683,-0.091,-54.077,68.176,-240.967
0.043,-0.813,-0.149,-57.922,66.467,-237.366
0.069,-0.955,-0.184,-64.026,63.354,-231.628
0.092,-1.040,-0.198,-71.167,59.814,-223.206
0.112,-1.181,-0.274,-77.087,57.800,-215.271
0.118,-1.372,-0.342,-79.285,53.101,-206.116
0.182,-1.531,-0.387,-76.782,46.875,-193.420
0.208,-1.636,-0.397,-67.566,39.612,-177.368
0.276,-1.761,-0.463,-62.683,32.837,-163.391
0.347,-1.729,-0.447,-64.026,27.344,-143.555
0.406,-1.767,-0.487,-69.031,24.170,-127.014
0.458,-1.764,-0.538,-73.242,19.897,-111.755
0.500,-1.805,-0.556,-73.853,12.634,-98.022
0.530,-1.869,-0.523,-71.777,3.357,-84.473
0.574,-1.941,-0.475,-66.284,-5.798,-69.031
0.621,-1.970,-0.386,-57.373,-14.709,-50.720
0.665,-1.912,-0.331,-50.049,-19.958,-30.701
0.706,-1.791,-0.288,-45.959,-23.682,-10.498
0.754,-1.642,-0.177,-43.091,-26.550,6.287
0.820,-1.392,0.008,-41.565,-28.015,20.630
0.858,-1.240,0.073,-42.725,-23.437,28.198
0.870,-1.194,0.060,-43.762,-16.602,30.518
0.878,-1.145,0.059,-41.992,-12.512,33.447
0.870,-1.096,0.061,-37.476,-10.437,36.926
0.875,-1.002,0.103,-29.358,-9.766,40.405
0.868,-0.912,0.099,-19.592,-8.911,41.992
0.858,-0.859,0.112,-11.292,-7.874,41.138
0.845,-0.813,0.118,-4.700,-6.653,40.039
0.829,-0.768,0.134,-1.404,-4.089,38.696
0.825,-0.680,0.195,-1.953,-1.648,37.781
0.805,-0.695,0.159,-5.188,4.028,34.973
0.783,-0.709,0.105,-8.972,10.071,32.410
0.768,-0.685,0.055,-10.742,13.123,32.043
0.757,-0.610,0.039,-10.376,14.404,31.921
0.745,-0.603,0.003,-8.789,14.771,29.663
0.732,-0.591,-0.025,-5.737,14.038,26.733
0.728,-0.580,-0.043,-1.282,12.756,24.109
0.720,-0.560,-0.034,3.174,10.498,21.423
0.712,-0.542,-0.035,5.676,9.399,18.677
0.703,-0.552,-0.035,6.165,8.484,15.991
0.696,-0.549,-0.062,5.432,8.667,13.794
0.694,-0.541,-0.055,4.211,7.507,12.268
0.692,-0.539,-0.069,2.686,6.592,10.559
0.693,-0.562,-0.078,1.892,5.615,8.789
0.696,-0.559,-0.071,1.831,3.723,8.057
0.710,-0.540,-0.042,2.502,1.648,7.141
0.717,-0.517,-0.033,2.197,0.122,5.676
0.719,-0.533,-0.028,1.709,-0.244,2.930
0.721,-0.573,-0.003,0.916,-1.160,0.916
0.726,-0.580,0.031,-0.122,-1.404,0.000
0.727,-0.582,0.032,-1.160,-1.282,-0.671
0.725,-0.615,0.022,-1.160,-0.732,-2.075
0.728,-0.624,0.042,-0.488,-1.038,-2.686
0.730,-0.640,0.033,0.305,-0.793,-3.113
0.735,-0.672,0.041,-0.427,-0.671,-3.113
0.736,-0.674,0.035,-1.221,-0.122,-2.136
0.739,-0.655,0.008,-1.465,0.549,-0.916

-0.588,1.075,1.033,126.892,-84.229,336.182
-0.534,1.300,0.945,133.057,-75.928,326.416
-0.479,1.420,0.838,133.667,-70.618,311.157
-0.432,1.428,0.823,129.822,-70.190,292.725
-0.396,1.384,0.869,123.535,-70.374,276.428
-0.358,1.386,0.958,112.854,-68.787,264.282
-0.321,1.452,0.968,100.586,-63.660,256.409
-0.269,1.548,0.990,89.478,-57.617,249.146
-0.200,1.709,1.041,82.275,-52.185,240.540
-0.109,1.850,1.132,80.750,-46.692,226.990
-0.033,1.952,1.148,83.679,-38.330,209.106
0.009,1.953,1.195,85.999,-29.236,188.721
0.061,2.009,1.130,87.036,-20.935,170.593
0.097,1.970,1.122,81.482,-14.221,152.222
0.108,2.017,0.943,70.435,-2.197,136.658
0.144,2.110,0.965,56.641,1.709,122.009
0.153,2.160,0.884,42.786,7.019,104.309
0.176,2.125,0.833,26.489,11.047,82.764
0.199,2.128,0.889,12.085,13.855,63.843
0.210,2.151,0.877,3.906,18.616,44.067
0.212,2.115,0.876,3.662,23.071,20.752
0.195,2.048,0.840,7.629,27.649,-3.174
0.154,1.909,0.751,8.118,32.898,-24.902
0.118,1.796,0.658,1.160,35.767,-41.809
0.106,1.761,0.638,-11.353,36.011,-52.856
0.104,1.788,0.611,-26.672,36.011,-62.195
0.104,1.826,0.681,-42.419,34.363,-72.083
0.112,1.840,0.771,-55.054,33.936,-83.923
0.119,1.926,0.834,-58.411,35.767,-96.741
0.107,1.883,0.845,-53.162,38.879,-114.441
0.096,1.838,0.853,-45.715,41.626,-132.568
0.076,1.700,0.798,-41.016,45.288,-149.109
0.062,1.586,0.764,-42.603,48.523,-161.377
0.051,1.496,0.722,-49.133,51.025,-169.434
0.054,1.411,0.738,-56.274,52.185,-176.208
0.068,1.389,0.790,-60.913,52.551,-181.335
0.070,1.379,0.825,-63.965,54.932,-187.561
0.067,1.310,0.837,-64.453,58.533,-195.984
0.055,1.216,0.828,-62.317,63.416,-204.956
0.038,1.132,0.797,-59.937,68.665,-212.708
0.026,1.050,0.737,-59.753,73.547,-219.238
-0.001,0.939,0.644,-61.584,77.148,-224.182
-0.000,0.846,0.648,-64.880,78.247,-227.600
-0.005,0.786,0.641,-67.505,78.857,-228.638
0.002,0.709,0.632,-71.106,80.872,-229.065
0.016,0.658,0.631,-71.594,81.360,-229.187
0.037,0.668,0.602,-69.946,83.435,-228.760
0.055,0.704,0.587,-69.397,84.778,-230.408
0.052,0.683,0.520,-68.848,87.158,-236.206
0.046,0.645,0.493,-68.726,88.013,-243.591
0.033,0.568,0.452,-68.787,88.867,-251.038
0.010,0.435,0.422,-68.542,88.623,-256.958
-0.003,0.235,0.410,-69.458,87.769,-259.460
0.009,0.169,0.423,-68.848,86.182,-255.676
0.042,0.160,0.421,-66.040,85.754,-250.244
0.069,0.168,0.383,-63.477,87.036,-246.765
0.089,0.241,0.316,-62.683,88.074,-243.713
0.114,0.281,0.303,-62.256,87.585,-245.300
0.115,0.380,0.287,-60.364,85.938,-249.451
0.085,0.299,0.231,-58.533,86.243,-259.216
0.030,0.162,0.180,-56.396,83.801,-268.616
0.007,-0.030,0.170,-51.758,79.590,-273.804
0.006,-0.173,0.180,-45.410,74.951,-273.254
0.022,-0.170,0.145,-40.466,72.937,-267.212
0.060,-0.040,0.218,-40.771,70.862,-260.193
0.076,0.042,0.180,-47.485,72.632,-259.644
0.074,0.078,0.119,-55.176,74.829,-264.832
0.040,0.031,0.066,-59.082,74.890,-273.621
-0.007,-0.155,0.020,-61.646,72.815,-283.691
-0.055,-0.379,-0.042,-61.829,70.313,-288.208
-0.047,-0.531,-0.036,-59.937,64.880,-285.278
-0.049,-0.644,-0.048,-57.800,58.777,-277.161
-0.017,-0.690,-0.105,-55.908,55.542,-267.334
0.009,-0.705,-0.111,-56.885,50.171,-257.996
0.038,-0.745,-0.108,-63.293,48.096,-252.441
0.042,-0.823,-0.146,-73.181,47.607,-249.207
0.026,-1.085,-0.284,-81.238,47.852,-247.986
0.044,-1.298,-0.370,-86.365,42.969,-242.187
0.026,-1.410,-0.399,-87.158,33.447,-229.736
0.082,-1.680,-0.352,-83.618,20.874,-219.360
0.139,-1.796,-0.275,-77.881,11.780,-201.416
0.199,-1.860,-0.243,-70.923,6.653,-179.443
0.264,-1.858,-0.218,-70.496,5.432,-158.081
0.314,-1.880,-0.222,-75.806,5.981,-138.000
0.358,-1.901,-0.239,-83.435,6.470,-119.690
0.392,-1.915,-0.281,-85.999,4.578,-101.929
0.428,-1.919,-0.267,-82.092,-1.160,-84.900
0.463,-1.931,-0.215,-74.036,-8.728,-67.993
0.513,-1.934,-0.104,-64.026,-16.602,-50.720
0.576,-1.817,0.008,-53.894,-21.057,-32.349
0.623,-1.712,0.066,-47.546,-20.874,-15.991
0.669,-1.587,0.147,-45.105,-18.494,-2.563
0.717,-1.441,0.225,-44.373,-14.282,8.240
0.753,-1.331,0.257,-44.189,-7.874,16.113
0.771,-1.248,0.251,-44.312,-1.160,21.790
0.783,-1.197,0.207,-43.396,4.028,26.428
0.791,-1.122,0.201,-39.368,6.531,31.189
0.793,-1.070,0.155,-31.616,7.751,34.485
0.797,-0.985,0.136,-22.339,7.141,37.292
0.794,-0.898,0.149,-13.245,5.493,39.307
0.798,-0.788,0.202,-7.446,4.700,39.307
0.794,-0.703,0.235,-6.165,6.653,37.292
0.785,-0.667,0.244,-7.690,10.376,33.142
0.766,-0.668,0.227,-9.583,14.587,28.687
0.745,-0.691,0.191,-10.803,18.311,24.841
0.723,-0.726,0.119,-9.033,20.752,22.156
0.706,-0.718,0.081,-4.639,20.081,21.179
0.694,-0.692,0.051,0.366,17.822,21.179
0.684,-0.666,0.049,3.662,15.381,20.325
0.674,-0.659,0.055,4.517,13.428,19.165
0.665,-0.675,0.054,4.272,12.634,17.578
0.658,-0.636,0.057,3.540,11.292,17.883
0.662,-0.599,0.072,2.869,10.437,16.602
