aX,aY,aZ,gX,gY,gZ
-0.753,-0.166,2.098,-25.269,-20.203,166.260
-0.732,0.074,2.155,-36.133,-6.958,166.992
-0.741,0.191,2.169,-50.598,8.057,163.025
-0.751,0.246,2.236,-66.650,23.865,157.410
-0.779,0.284,2.243,-77.332,41.321,151.917
-0.789,0.346,2.215,-80.261,58.594,147.400
-0.810,0.468,2.076,-75.684,74.463,143.494
-0.810,0.539,1.948,-67.688,86.853,137.878
-0.803,0.587,1.847,-63.049,95.093,132.385
-0.771,0.626,1.788,-59.326,101.318,127.625
-0.729,0.683,1.744,-54.382,107.483,122.437
-0.687,0.767,1.644,-46.875,114.624,117.126
-0.641,0.882,1.531,-38.757,121.033,110.352
-0.596,0.975,1.396,-30.701,125.671,101.318
-0.561,1.053,1.262,-27.039,129.333,89.966
-0.521,1.077,1.129,-28.992,131.287,77.087
-0.491,1.078,1.042,-32.288,131.165,63.477
-0.458,1.066,0.906,-32.593,130.066,49.927
-0.423,1.106,0.807,-32.837,126.343,38.025
-0.377,1.168,0.762,-32.776,120.544,25.330
-0.343,1.208,0.722,-36.194,115.601,11.475
-0.332,1.248,0.714,-41.077,111.755,-2.747
-0.331,1.267,0.646,-45.288,109.314,-18.738
-0.346,1.253,0.625,-49.744,105.530,-35.461
-0.348,1.214,0.591,-52.551,101.685,-52.063
-0.358,1.125,0.568,-50.720,97.412,-67.993
-0.371,1.086,0.487,-44.922,93.323,-80.566
-0.376,1.094,0.362,-38.330,87.463,-90.698
-0.351,1.151,0.316,-32.959,77.515,-99.976
-0.341,1.189,0.307,-29.114,68.115,-111.084
-0.329,1.190,0.373,-29.114,60.974,-124.023
-0.319,1.178,0.467,-32.043,57.190,-138.123
-0.327,1.113,0.534,-36.316,57.922,-151.978
-0.372,1.024,0.461,-39.856,61.829,-165.344
-0.439,0.863,0.262,-40.161,64.270,-177.002
-0.480,0.674,0.125,-42.542,59.265,-185.608
-0.481,0.558,0.053,-42.053,48.767,-189.697
-0.466,0.494,0.017,-36.011,36.865,-191.345
-0.431,0.460,0.037,-32.837,25.391,-192.261
-0.384,0.434,0.160,-33.936,15.076,-193.115
-0.345,0.411,0.273,-39.917,9.766,-194.702
-0.333,0.392,0.309,-44.556,8.606,-197.449
-0.331,0.305,0.262,-49.316,9.155,-201.538
-0.313,0.155,0.248,-54.260,7.629,-204.712
-0.313,0.055,0.172,-51.941,4.761,-205.017
-0.314,-0.135,0.047,-46.631,0.366,-203.857
-0.281,-0.232,0.014,-39.612,-8.850,-199.097
-0.236,-0.309,0.038,-35.583,-20.264,-190.918
-0.201,-0.349,0.083,-36.011,-29.846,-181.458
-0.143,-0.395,0.143,-33.813,-38.147,-173.523
-0.086,-0.361,0.218,-31.067,-44.189,-167.419
-0.046,-0.395,0.237,-30.090,-46.021,-163.940
-0.047,-0.472,0.228,-34.485,-45.959,-160.889
-0.067,-0.652,0.186,-41.443,-46.570,-157.288
-0.094,-0.850,0.124,-46.021,-50.598,-150.940
-0.100,-1.075,0.063,-44.556,-57.434,-140.747
-0.092,-1.248,0.126,-41.992,-69.031,-125.732
-0.068,-1.232,0.211,-35.095,-80.261,-105.652
-0.040,-1.122,0.234,-25.391,-87.830,-86.853
-0.021,-1.025,0.265,-19.226,-94.299,-72.632
-0.005,-0.959,0.315,-19.531,-100.159,-61.951
-0.004,-0.936,0.383,-26.672,-104.736,-52.856
-0.009,-0.989,0.453,-35.522,-108.398,-45.044
-0.025,-1.105,0.556,-43.823,-111.572,-35.645
-0.046,-1.192,0.681,-46.265,-114.319,-22.766
-0.071,-1.172,0.749,-40.955,-115.417,-6.409
-0.091,-1.085,0.798,-31.372,-116.089,9.216
-0.122,-0.960,0.867,-20.996,-117.798,23.560
-0.139,-0.877,0.994,-14.465,-119.507,35.278
-0.151,-0.855,1.144,-16.113,-119.141,44.617
-0.177,-0.787,1.219,-15.625,-114.319,54.321
-0.209,-0.805,1.259,-14.771,-108.032,62.012
-0.267,-0.880,1.241,-14.343,-101.013,70.129
-0.296,-0.913,1.340,-14.038,-96.924,81.238
-0.343,-0.831,1.387,-7.019,-90.454,95.093
-0.367,-0.828,1.509,8.972,-87.769,106.384
-0.416,-0.719,1.438,20.691,-80.994,116.821
-0.470,-0.663,1.461,24.292,-78.918,125.793
-0.493,-0.613,1.518,23.804,-78.064,133.911
-0.486,-0.608,1.625,24.597,-76.965,140.808
-0.554,-0.526,1.692,33.569,-72.510,148.193
-0.535,-0.313,1.717,40.955,-65.552,154.907
-0.545,-0.210,1.862,33.508,-56.030,156.128
-0.528,-0.042,1.980,13.916,-47.485,156.067
-0.541,0.154,2.043,-0.732,-33.875,155.945
-0.570,0.337,1.938,-3.662,-19.226,152.283
-0.566,0.452,1.787,-1.526,-8.118,146.790
-0.536,0.602,1.788,-1.038,-4.395,142.639
-0.503,0.696,1.797,-1.038,-1.526,138.245
-0.466,0.845,1.807,4.150,2.258,133.545
-0.419,1.000,1.775,14.771,6.958,127.502
-0.373,1.198,1.747,24.292,11.719,120.178
-0.336,1.336,1.764,27.954,15.564,109.497
-0.302,1.417,1.714,27.588,21.912,95.703
-0.261,1.436,1.594,30.457,29.663,79.834
-0.244,1.331,1.465,34.424,35.339,61.218
-0.244,1.215,1.350,39.551,38.391,45.959
-0.247,1.106,1.230,41.504,39.551,33.691
-0.244,0.969,1.150,39.246,37.964,23.682
-0.241,0.851,1.137,34.363,34.973,15.381
-0.246,0.732,1.077,30.762,32.654,8.606
-0.251,0.621,1.019,28.381,30.518,2.747
-0.241,0.520,0.985,26.062,27.466,-1.953
-0.230,0.433,0.950,22.766,24.841,-6.287
-0.223,0.359,0.918,19.348,22.278,-10.864
-0.217,0.252,0.885,15.564,20.081,-15.869
-0.213,0.139,0.915,10.437,17.700,-19.287
-0.214,0.013,0.967,4.028,16.479,-21.667
-0.227,-0.102,0.948,1.587,17.517,-22.644
-0.238,-0.225,0.911,0.549,18.372,-22.827
-0.237,-0.272,0.875,0.977,17.273,-19.897
-0.229,-0.278,0.855,1.221,14.771,-15.747
-0.210,-0.261,0.844,2.258,11.230,-11.841

-0.214,-1.763,1.098,-6.287,-25.818,46.265
-0.334,-1.945,1.235,-3.784,-29.175,68.604
-0.466,-2.020,1.362,1.343,-30.640,95.337
-0.569,-1.950,1.465,11.353,-31.189,123.779
-0.639,-1.780,1.594,22.583,-32.410,151.489
-0.675,-1.486,1.804,26.123,-32.837,176.453
-0.703,-1.098,2.067,23.560,-28.870,196.655
-0.743,-0.701,2.247,17.700,-18.066,209.290
-0.786,-0.318,2.322,6.714,-1.587,215.149
-0.812,0.006,2.363,-9.033,15.625,215.149
-0.840,0.221,2.385,-27.039,32.715,210.693
-0.882,0.347,2.309,-42.969,49.561,203.979
-0.908,0.501,2.191,-52.856,63.538,198.059
-0.900,0.660,2.082,-56.702,73.730,192.139
-0.858,0.848,1.988,-54.504,81.055,185.303
-0.793,1.038,1.845,-44.373,86.731,177.307
-0.726,1.195,1.720,-29.968,90.454,166.565
-0.655,1.342,1.570,-17.273,92.773,154.541
-0.562,1.516,1.431,-6.592,93.262,140.198
-0.452,1.655,1.339,-1.160,92.834,122.253
-0.350,1.731,1.260,-6.042,94.727,100.403
-0.279,1.754,1.147,-19.531,99.121,75.989
-0.240,1.729,1.021,-36.804,103.699,48.950
-0.202,1.635,0.887,-51.270,107.239,20.935
-0.207,1.499,0.698,-61.218,109.314,-5.737
-0.197,1.252,0.553,-68.726,107.117,-29.907
-0.235,0.957,0.416,-72.937,101.257,-49.011
-0.273,0.679,0.283,-69.031,92.468,-61.279
-0.284,0.468,0.195,-55.847,78.796,-66.589
-0.283,0.454,0.163,-36.438,63.232,-66.040
-0.262,0.537,0.137,-17.090,49.133,-66.101
-0.219,0.836,0.220,-9.705,38.208,-69.641
-0.181,1.048,0.339,-19.470,32.593,-81.421
-0.201,1.061,0.492,-46.753,33.020,-101.074
-0.276,0.773,0.552,-74.097,37.720,-123.901
-0.352,0.395,0.570,-91.553,42.908,-141.296
-0.392,0.094,0.575,-96.313,45.166,-148.987
-0.398,0.002,0.545,-86.548,44.678,-147.522
-0.378,0.013,0.503,-68.970,41.077,-141.113
-0.335,0.100,0.464,-51.208,35.522,-135.010
-0.290,0.240,0.455,-37.048,28.503,-130.554
-0.234,0.456,0.528,-29.785,22.766,-129.761
-0.193,0.600,0.597,-32.288,20.996,-134.888
-0.176,0.566,0.722,-48.096,22.949,-144.653
-0.168,0.395,0.810,-67.871,28.748,-155.151
-0.180,0.196,0.743,-80.505,36.316,-161.438
-0.182,-0.075,0.652,-79.773,40.039,-163.940
-0.187,-0.236,0.484,-65.552,38.452,-159.546
-0.137,-0.316,0.377,-44.250,31.067,-150.452
-0.057,-0.215,0.358,-23.499,19.409,-138.550
0.024,-0.036,0.390,-7.507,8.911,-129.028
0.082,0.169,0.417,-0.732,3.174,-125.549
0.123,0.254,0.465,-7.080,0.854,-128.723
0.149,0.171,0.518,-22.949,0.305,-135.559
0.154,-0.021,0.565,-40.466,0.610,-141.418
0.147,-0.239,0.500,-47.546,1.404,-142.456
0.152,-0.391,0.432,-42.969,-0.916,-137.817
0.162,-0.459,0.376,-30.518,-7.141,-128.784
0.179,-0.474,0.378,-16.724,-15.991,-118.286
0.187,-0.419,0.391,-3.967,-24.048,-107.727
0.198,-0.365,0.421,6.287,-30.273,-100.403
0.216,-0.292,0.467,8.606,-34.058,-96.191
0.231,-0.265,0.471,2.319,-34.302,-95.398
0.220,-0.351,0.442,-9.155,-33.325,-96.924
0.188,-0.513,0.371,-19.653,-33.630,-96.924
0.168,-0.698,0.373,-27.039,-38.086,-92.773
0.157,-0.829,0.430,-26.550,-45.532,-82.886
0.156,-0.887,0.492,-17.090,-52.979,-69.214
0.160,-0.839,0.562,-3.357,-60.486,-53.772
0.169,-0.681,0.583,10.498,-65.979,-39.673
0.185,-0.504,0.641,18.738,-70.679,-30.212
0.198,-0.395,0.702,17.273,-72.876,-26.062
0.211,-0.332,0.802,9.277,-73.303,-24.902
0.198,-0.333,0.809,-0.732,-70.190,-25.940
0.163,-0.429,0.747,-11.292,-65.979,-27.405
0.127,-0.563,0.689,-18.433,-64.819,-25.635
0.099,-0.660,0.684,-19.043,-67.078,-19.531
0.070,-0.671,0.681,-13.428,-71.594,-9.644
0.057,-0.633,0.728,-5.005,-77.332,0.732
0.067,-0.568,0.860,2.686,-84.045,10.925
0.069,-0.460,0.966,8.972,-86.853,20.081
0.039,-0.341,0.998,13.550,-85.632,26.001
0.004,-0.228,1.014,13.611,-83.069,28.564
-0.036,-0.199,1.059,8.240,-81.848,28.381
-0.046,-0.258,1.056,-1.404,-79.346,27.527
-0.078,-0.342,1.123,-6.104,-75.134,28.137
-0.084,-0.464,1.094,-4.700,-72.632,30.884
-0.095,-0.483,1.059,0.183,-69.824,36.560
-0.113,-0.489,1.000,6.897,-69.031,42.847
-0.127,-0.488,1.018,11.658,-70.435,50.049
-0.140,-0.385,1.045,15.503,-72.021,58.167
-0.154,-0.301,1.094,17.700,-73.120,64.148
-0.147,-0.264,1.152,22.034,-73.059,67.139
-0.200,-0.376,1.069,15.198,-67.200,67.078
-0.203,-0.386,1.188,5.554,-70.496,71.411
-0.210,-0.390,1.333,-2.747,-69.153,75.806
-0.224,-0.401,1.372,-2.319,-66.345,79.285
-0.248,-0.405,1.381,-0.488,-60.059,82.825
-0.262,-0.386,1.432,2.563,-56.702,88.074
-0.268,-0.339,1.510,5.249,-52.673,92.957
-0.290,-0.221,1.491,9.460,-45.837,96.680
-0.314,-0.184,1.411,14.099,-38.513,97.107
-0.335,-0.242,1.396,12.085,-33.752,96.069
-0.371,-0.336,1.403,7.568,-29.785,96.741
-0.416,-0.310,1.407,5.066,-25.574,100.952
-0.427,-0.236,1.414,10.803,-22.888,105.469
-0.420,-0.084,1.484,16.113,-21.729,109.680
-0.385,0.063,1.568,18.372,-18.921,111.206
-0.356,0.234,1.623,18.250,-12.451,109.802
-0.356,0.347,1.538,17.456,-2.869,104.980
-0.358,0.438,1.429,14.709,4.272,98.511
-0.337,0.438,1.394,7.812,6.897,91.675
-0.316,0.412,1.433,-0.793,8.118,86.365
-0.297,0.419,1.433,-3.418,10.559,83.496
-0.285,0.515,1.372,2.502,13.184,81.421
-0.260,0.592,1.351,9.155,13.428,78.613
-0.237,0.644,1.325,13.428,13.733,73.425
-0.216,0.716,1.284,16.846,14.160,67.810
-0.198,0.785,1.256,16.846,14.404,60.425

-0.334,-2.010,1.009,3.540,-46.509,36.438
-0.452,-2.031,1.142,-0.916,-48.218,62.866
-0.565,-1.920,1.192,1.465,-47.424,90.210
-0.664,-1.700,1.287,1.526,-48.096,115.479
-0.764,-1.462,1.423,-3.357,-49.866,137.329
-0.811,-1.229,1.694,-12.024,-51.758,154.785
-0.866,-0.998,1.939,-17.883,-48.523,167.847
-0.947,-0.771,2.069,-21.362,-39.551,177.795
-1.016,-0.586,2.123,-24.902,-28.076,184.998
-1.072,-0.371,2.138,-30.029,-17.334,191.589
-1.100,-0.104,2.218,-37.354,-7.202,196.228
-1.103,0.159,2.231,-44.006,3.967,196.899
-1.112,0.401,2.205,-49.133,18.005,192.749
-1.091,0.584,2.182,-56.641,31.616,184.143
-1.084,0.741,2.153,-67.078,45.654,172.791
-1.060,0.843,2.067,-75.378,60.669,158.813
-1.018,0.873,1.978,-83.069,73.914,143.921
-0.968,0.840,1.922,-90.820,86.060,129.272
-0.927,0.818,1.776,-93.811,97.900,116.760
-0.869,0.812,1.607,-90.515,107.361,105.164
-0.802,0.828,1.445,-83.374,113.770,95.032
-0.723,0.864,1.329,-72.632,117.310,85.754
-0.669,0.889,1.149,-59.631,120.178,75.989
-0.597,0.954,1.002,-50.110,120.972,66.162
-0.508,1.102,0.920,-42.847,119.385,55.359
-0.424,1.234,0.801,-39.429,118.713,41.382
-0.341,1.337,0.762,-46.753,118.774,23.987
