aX,aY,aZ,gX,gY,gZ
0.204,-0.768,0.339,-20.813,-170.227,-39.612
0.194,-0.745,0.433,-15.930,-181.396,-32.837
0.188,-0.763,0.536,-7.446,-188.232,-26.428
0.188,-0.775,0.547,-0.854,-191.895,-19.653
0.181,-0.805,0.588,-1.404,-195.007,-12.268
0.161,-0.808,0.646,-8.850,-197.388,-3.723
0.129,-0.753,0.739,-9.827,-199.402,5.920
0.089,-0.616,0.761,-0.732,-200.867,15.564
0.055,-0.569,0.742,3.357,-202.454,20.569
0.033,-0.576,0.790,6.348,-207.520,23.682
0.007,-0.556,0.823,4.517,-213.684,28.259
-0.047,-0.514,0.834,-4.883,-218.323,32.654
-0.098,-0.502,0.996,4.822,-226.318,36.133
-0.128,-0.434,1.144,23.865,-230.957,40.771
-0.137,-0.493,1.189,20.813,-224.182,42.725
-0.165,-0.522,1.190,15.564,-215.881,46.204
-0.200,-0.570,1.223,11.353,-209.900,53.345
-0.244,-0.550,1.179,12.085,-204.590,62.134
-0.300,-0.537,1.092,14.404,-200.317,69.946
-0.365,-0.675,1.236,26.978,-207.092,74.463
-0.407,-0.576,1.387,42.542,-211.731,86.304
-0.439,-0.599,1.550,46.692,-211.121,94.177
-0.474,-0.561,1.743,34.973,-204.041,100.159
-0.517,-0.443,1.931,12.146,-191.711,107.239
-0.526,-0.447,1.982,-27.283,-171.875,109.924
-0.519,-0.598,2.311,-52.856,-156.982,111.816
-0.556,-0.631,2.513,-36.255,-133.606,122.314
-0.600,-0.626,2.405,-21.790,-95.398,133.484
-0.651,-0.588,2.275,-15.747,-63.721,142.212
-0.713,-0.431,2.255,-9.338,-43.457,150.452
-0.722,-0.277,2.229,-3.723,-27.161,154.053
-0.703,-0.289,2.130,3.235,-10.742,150.391
-0.680,-0.273,2.176,9.399,-1.282,149.170
-0.672,-0.221,2.192,23.254,6.836,149.414
-0.651,-0.123,2.178,34.546,19.897,149.841
-0.644,-0.064,2.113,39.612,32.898,148.437
